Kilometres,Zone,Bonus,Make,Insured,Claims,Payment
1,1,1,1,455.13,108,392491
1,1,1,2,69.17,19,46221
1,1,1,3,72.88,13,15694
1,1,1,4,1292.39,124,422201
1,1,1,5,191.01,40,119373
1,1,1,6,477.66,57,170913
1,1,1,7,105.58,23,56940
1,1,1,8,32.55,14,77487
1,1,1,9,9998.46,1704,6805992
1,1,2,1,314.58,45,214011
1,1,2,2,61.82,10,65303
1,1,2,3,47.06,5,20871
1,1,2,4,782.58,48,242894
1,1,2,5,115.43,11,23545
1,1,2,6,338.06,23,39598
1,1,2,7,70.44,7,48767
1,1,2,8,15.25,2,6560
1,1,2,9,6416.19,638,2873487
1,1,3,1,309.98,24,134931
1,1,3,2,49.18,6,50908
1,1,3,3,32.02,3,4399
1,1,3,4,497.2,23,112992
1,1,3,5,73.48,6,14788
1,1,3,6,278.01,9,48713
1,1,3,7,66.36,9,52076
1,1,3,8,17.86,3,13161
1,1,3,9,5063.15,408,1707680
1,1,4,1,318.48,29,103866
1,1,4,2,57.21,7,77588
1,1,4,3,35.33,4,11839
1,1,4,4,374.28,20,98140
1,1,4,5,85.18,7,27919
1,1,4,6,199.7,7,103910
1,1,4,7,60.46,4,38065
1,1,4,8,12.74,0,0
1,1,4,9,4263.09,300,1267678
1,1,5,1,444.37,25,69203
1,1,5,2,86.65,6,14620
1,1,5,3,53.81,5,40258
1,1,5,4,361.62,22,161455
1,1,5,5,117.91,3,20011
1,1,5,6,232.55,11,57214
1,1,5,7,81.27,3,4496
1,1,5,8,18.21,0,0
1,1,5,9,4761.37,301,1116208
1,1,6,1,1016.67,61,217617
1,1,6,2,150.56,12,58099
1,1,6,3,126.69,4,12268
1,1,6,4,517.31,16,59634
1,1,6,5,246.62,13,84966
1,1,6,6,482.96,19,137005
1,1,6,7,203.6,12,33767
1,1,6,8,25.88,3,6279
1,1,6,9,9197.99,522,1939894
1,1,7,1,5430.48,214,1048698
1,1,7,2,659.54,24,143915
1,1,7,3,657.34,22,153830
1,1,7,4,2795.72,60,202413
1,1,7,5,1119.12,41,180345
1,1,7,6,2861.69,92,484604
1,1,7,7,1111,37,152801
1,1,7,8,166.61,6,14084
1,1,7,9,48264.64,1875,8977527
1,2,1,1,458.89,98,532092
1,2,1,2,72.78,5,9006
1,2,1,3,33.23,7,45498
1,2,1,4,1544.55,101,337480
1,2,1,5,200.9,43,191982
1,2,1,6,663.98,65,300632
1,2,1,7,124.73,10,23349
1,2,1,8,29.24,4,13581
1,2,1,9,11381,1326,6173598
1,2,2,1,364.78,40,211494
1,2,2,2,51.89,5,10811
1,2,2,3,29.39,4,36204
1,2,2,4,1053.01,33,135007
1,2,2,5,110.1,16,49061
1,2,2,6,470.62,30,64287
1,2,2,7,93.29,8,51080
1,2,2,8,17.88,1,600
1,2,2,9,7607.66,591,2510207
1,2,3,1,315.14,17,106975
1,2,3,2,64.53,4,16922
1,2,3,3,27.24,2,8255
1,2,3,4,726.13,29,93656
1,2,3,5,96.49,4,44966
1,2,3,6,365.81,16,43426
1,2,3,7,80.8,5,48691
1,2,3,8,13.3,1,1325
1,2,3,9,5898.98,320,1392652
1,2,4,1,320.47,16,136143
1,2,4,2,69.55,4,34137
1,2,4,3,33.37,1,2702
1,2,4,4,507.57,9,22292
1,2,4,5,72.4,7,20295
1,2,4,6,316.14,9,57404
1,2,4,7,72.05,3,8538
1,2,4,8,18.35,0,0
1,2,4,9,4957.56,269,1375988
1,2,5,1,473.63,27,136376
1,2,5,2,88.09,8,19038
1,2,5,3,46.27,2,3604
1,2,5,4,467.96,9,10597
1,2,5,5,126.88,10,26433
1,2,5,6,316.15,11,52950
1,2,5,7,101.11,7,21620
1,2,5,8,23.37,1,2680
1,2,5,9,5481.31,282,1079230
1,2,6,1,996.27,61,236220
1,2,6,2,175.14,10,25036
1,2,6,3,111.97,5,22261
1,2,6,4,601.61,16,88961
1,2,6,5,260.69,14,64368
1,2,6,6,593.18,17,65578
1,2,6,7,229.72,7,46244
1,2,6,8,46.66,7,14385
1,2,6,9,9830.72,413,1840742
1,2,7,1,6021.43,233,1086534
1,2,7,2,852.8,33,165960
1,2,7,3,751.59,24,100564
1,2,7,4,3293.99,60,201401
1,2,7,5,1289.09,53,272610
1,2,7,6,3665.27,97,524316
1,2,7,7,1369.91,35,159658
1,2,7,8,183.98,5,18603
1,2,7,9,55084.54,1744,8500391
1,3,1,1,453.06,72,329632
1,3,1,2,67.13,9,79565
1,3,1,3,35.22,5,11746
1,3,1,4,1653.17,89,338305
1,3,1,5,206.62,38,124108
1,3,1,6,859.95,64,213078
1,3,1,7,110.08,11,34844
1,3,1,8,25.92,5,25319
1,3,1,9,11436.08,1205,5173923
1,3,2,1,317.1,25,90162
1,3,2,2,54.58,8,19327
1,3,2,3,22.59,3,1209
1,3,2,4,1187.43,30,123124
1,3,2,5,129.53,13,99258
1,3,2,6,617.11,40,137828
1,3,2,7,102.5,7,14904
1,3,2,8,21.56,1,597
1,3,2,9,8351.79,425,1937445
1,3,3,1,357.43,18,37835
1,3,3,2,62.87,3,5014
1,3,3,3,18,0,0
1,3,3,4,849.23,25,61591
1,3,3,5,119.21,6,47495
1,3,3,6,463.6,20,53173
1,3,3,7,104.36,6,11936
1,3,3,8,14.21,1,31442
1,3,3,9,6540.44,304,1284025
1,3,4,1,338.37,19,136281
1,3,4,2,52.49,2,9253
1,3,4,3,27.97,0,0
1,3,4,4,571.94,23,142536
1,3,4,5,113.36,6,21433
1,3,4,6,406.33,21,131027
1,3,4,7,85.15,3,4079
1,3,4,8,16.16,1,1012
1,3,4,9,5123.78,217,994540
1,3,5,1,459.4,16,61958
1,3,5,2,73.51,2,5056
1,3,5,3,41.51,4,44278
1,3,5,4,517.24,8,18455
1,3,5,5,136.08,8,28248
1,3,5,6,417.71,11,15568
1,3,5,7,103.07,1,8347
1,3,5,8,26.11,1,1144
1,3,5,9,5849.14,242,1184032
1,3,6,1,1060.28,43,245621
1,3,6,2,124.82,7,12648
1,3,6,3,119.17,2,5855
1,3,6,4,639.97,12,64278
1,3,6,5,307.56,14,90310
1,3,6,6,740.33,24,117763
1,3,6,7,233.83,7,20303
1,3,6,8,53.41,3,6221
1,3,6,9,10263.04,393,2026554
1,3,7,1,7155.96,197,980780
1,3,7,2,999.32,32,168854
1,3,7,3,1049.99,19,41459
1,3,7,4,3712.23,67,229231
1,3,7,5,1862.44,74,388511
1,3,7,6,4964,121,622350
1,3,7,7,1785.23,58,253660
1,3,7,8,331.45,8,94395
1,3,7,9,65617.47,1865,9884008
1,4,1,1,868.6,115,627513
1,4,1,2,122.54,10,113492
1,4,1,3,55.08,3,33925
1,4,1,4,2751.7,98,578698
1,4,1,5,328.36,36,149698
1,4,1,6,1730.51,105,604161
1,4,1,7,231.91,13,55103
1,4,1,8,48.77,4,34267
1,4,1,9,20153.28,1446,6605073
1,4,2,1,622.23,41,300510
1,4,2,2,94.03,5,11936
1,4,2,3,36.73,2,6387
1,4,2,4,2037.95,48,152944
1,4,2,5,189.27,17,40047
1,4,2,6,1217.01,65,344450
1,4,2,7,155.5,16,113524
1,4,2,8,27.27,0,0
1,4,2,9,14648.2,645,3150912
1,4,3,1,613.17,32,168882
1,4,3,2,108.4,5,43676
1,4,3,3,37.2,0,0
1,4,3,4,1447.58,25,66208
1,4,3,5,168.81,8,30465
1,4,3,6,933.44,40,374818
1,4,3,7,153.11,5,38157
1,4,3,8,32.44,2,8234
1,4,3,9,11314.54,427,2035982
1,4,4,1,573.86,29,214513
1,4,4,2,103.82,4,12077
1,4,4,3,49.14,2,12947
1,4,4,4,970.81,20,77705
1,4,4,5,135.49,6,16781
1,4,4,6,740.62,25,87155
1,4,4,7,123.63,3,11469
1,4,4,8,36.98,1,2572
1,4,4,9,8785.71,291,1189357
1,4,5,1,783.1,28,97770
1,4,5,2,127.17,7,21026
1,4,5,3,86.26,4,15583
1,4,5,4,886.11,16,71474
1,4,5,5,200.68,14,74804
1,4,5,6,825.58,16,76879
1,4,5,7,185.36,3,6085
1,4,5,8,53.05,1,6827
1,4,5,9,9849.89,324,1672294
1,4,6,1,1839.13,72,505590
1,4,6,2,298.73,5,16182
1,4,6,3,234.01,8,42369
1,4,6,4,1047.27,22,147524
1,4,6,5,481.63,16,70430
1,4,6,6,1317.07,34,162323
1,4,6,7,360.55,9,127814
1,4,6,8,90.61,7,80134
1,4,6,9,17332.9,535,2833885
1,4,7,1,15297.44,389,2505764
1,4,7,2,2085.44,65,296375
1,4,7,3,2140.94,38,253490
1,4,7,4,6923.74,100,435674
1,4,7,5,3721.62,115,641018
1,4,7,6,10409.88,194,1070372
1,4,7,7,3252.99,86,317119
1,4,7,8,768.54,23,160411
1,4,7,9,127687.27,2894,15540162
1,5,1,1,161.19,22,112479
1,5,1,2,15.53,2,1668
1,5,1,3,6.07,0,0
1,5,1,4,454.21,15,61507
1,5,1,5,69.38,13,83497
1,5,1,6,301.14,21,87734
1,5,1,7,47.82,6,51950
1,5,1,8,10.84,0,0
1,5,1,9,3645.26,407,1855941
1,5,2,1,132.69,7,27325
1,5,2,2,17.31,1,1554
1,5,2,3,4.2,0,0
1,5,2,4,324.26,10,22854
1,5,2,5,51.8,4,40692
1,5,2,6,218.84,12,88266
1,5,2,7,39.68,3,38808
1,5,2,8,12.15,1,1029
1,5,2,9,2694.25,174,616744
1,5,3,1,122.86,8,51943
1,5,3,2,21.15,0,0
1,5,3,3,5.15,0,0
1,5,3,4,240.23,6,13492
1,5,3,5,38.15,6,16170
1,5,3,6,173.78,4,17523
1,5,3,7,30.43,2,6421
1,5,3,8,4.82,1,31442
1,5,3,9,1993.33,117,481752
1,5,4,1,116.24,3,7229
1,5,4,2,16.48,1,1000
1,5,4,3,9.31,1,9867
1,5,4,4,160.66,8,22404
1,5,4,5,27.77,4,8119
1,5,4,6,145.54,8,33299
1,5,4,7,30.23,0,0
1,5,4,8,7.77,1,2700
1,5,4,9,1592.59,74,364037
1,5,5,1,185.95,11,53110
1,5,5,2,23.75,2,4900
1,5,5,3,15.57,0,0
1,5,5,4,140.66,2,4876
1,5,5,5,41.71,1,7056
1,5,5,6,141.81,2,3200
1,5,5,7,44.08,3,64516
1,5,5,8,9.68,0,0
1,5,5,9,1752.09,86,299385
1,5,6,1,394.91,9,25994
1,5,6,2,55.35,3,7232
1,5,6,3,40.03,1,1373
1,5,6,4,177.67,4,6211
1,5,6,5,92.95,7,21706
1,5,6,6,244.32,8,41753
1,5,6,7,92.99,5,6674
1,5,6,8,22.62,2,1522
1,5,6,9,3251.89,165,774028
1,5,7,1,2257.49,80,452280
1,5,7,2,284.44,7,45614
1,5,7,3,300.78,9,55124
1,5,7,4,946.25,19,68243
1,5,7,5,583.99,18,113925
1,5,7,6,1332.39,38,138432
1,5,7,7,541.88,13,93691
1,5,7,8,125.14,5,46879
1,5,7,9,17722.19,589,2700050
1,6,1,1,340.1,31,75947
1,6,1,2,38.25,3,5658
1,6,1,3,16.23,0,0
1,6,1,4,767.66,30,187167
1,6,1,5,134.82,31,164961
1,6,1,6,585.23,44,309679
1,6,1,7,80.16,7,8237
1,6,1,8,29.87,4,35088
1,6,1,9,6744.61,542,2708623
1,6,2,1,233.67,20,159609
1,6,2,2,33.6,2,5403
1,6,2,3,14.01,0,0
1,6,2,4,563.21,7,12459
1,6,2,5,84.85,10,55348
1,6,2,6,436.38,14,72563
1,6,2,7,63.25,3,63976
1,6,2,8,13.61,0,0
1,6,2,9,4721.76,227,970016
1,6,3,1,230.77,10,97153
1,6,3,2,37.88,1,789
1,6,3,3,14.41,0,0
1,6,3,4,386.7,10,57758
1,6,3,5,76.88,5,14166
1,6,3,6,294.37,15,106215
1,6,3,7,57.46,3,41564
1,6,3,8,12.76,0,0
1,6,3,9,3558.48,131,785697
1,6,4,1,186.52,12,81889
1,6,4,2,31.99,3,2985
1,6,4,3,15.77,0,0
1,6,4,4,283.49,6,73962
1,6,4,5,57.53,5,20515
1,6,4,6,219.19,5,14794
1,6,4,7,45.35,4,38560
1,6,4,8,24.46,2,3138
1,6,4,9,2708.07,99,517218
1,6,5,1,253.84,20,105565
1,6,5,2,47.01,2,5207
1,6,5,3,28.29,0,0
1,6,5,4,259.21,1,31442
1,6,5,5,72.82,1,1742
1,6,5,6,252.17,8,74154
1,6,5,7,64.53,3,8546
1,6,5,8,22.19,1,2198
1,6,5,9,2936.87,87,641508
1,6,6,1,560.62,17,107765
1,6,6,2,88.23,0,0
1,6,6,3,55.88,3,4731
1,6,6,4,274.15,3,10929
1,6,6,5,186,9,16980
1,6,6,6,424.38,12,62560
1,6,6,7,141.38,4,39806
1,6,6,8,60.89,3,4512
1,6,6,9,5248.1,187,1066083
1,6,7,1,4492.77,136,727249
1,6,7,2,606.55,16,114290
1,6,7,3,561.04,21,128950
1,6,7,4,1799.95,29,191942
1,6,7,5,1203.92,48,118462
1,6,7,6,2874.45,70,422565
1,6,7,7,914.58,27,208821
1,6,7,8,347.4,15,131927
1,6,7,9,34969.21,886,5181284
1,7,1,1,23.96,4,9848
1,7,1,2,4.05,0,0
1,7,1,4,92.39,5,4642
1,7,1,5,7.36,0,0
1,7,1,6,29.72,0,0
1,7,1,7,4.29,1,1504
1,7,1,8,1.04,0,0
1,7,1,9,560.17,38,108198
1,7,2,1,20.83,1,2772
1,7,2,2,3.41,0,0
1,7,2,3,0.23,0,0
1,7,2,4,48.63,1,1980
1,7,2,5,2.1,0,0
1,7,2,6,20.84,5,12647
1,7,2,7,2.22,0,0
1,7,2,8,0.47,0,0
1,7,2,9,413.54,19,45789
1,7,3,1,17.42,0,0
1,7,3,2,2.38,0,0
1,7,3,3,0.5,0,0
1,7,3,4,46.18,1,756
1,7,3,5,3.31,0,0
1,7,3,6,13.92,1,2199
1,7,3,7,3.7,0,0
1,7,3,8,0.3,0,0
1,7,3,9,285.04,7,15229
1,7,4,1,13.24,0,0
1,7,4,2,2.31,1,5000
1,7,4,3,0.8,0,0
1,7,4,4,27.66,0,0
1,7,4,5,4.74,0,0
1,7,4,6,11.37,0,0
1,7,4,7,2.64,0,0
1,7,4,9,225.35,5,9681
1,7,5,1,19.87,0,0
1,7,5,2,5.74,1,3900
1,7,5,3,1.69,0,0
1,7,5,4,29.05,1,2913
1,7,5,5,3.59,0,0
1,7,5,6,14.42,1,3174
1,7,5,7,2.42,0,0
1,7,5,8,0.9,0,0
1,7,5,9,278.75,13,31522
1,7,6,1,41.17,1,3325
1,7,6,2,7.55,2,7963
1,7,6,3,1.56,0,0
1,7,6,4,36.23,1,1327
1,7,6,5,9.82,0,0
1,7,6,6,21.9,0,0
1,7,6,7,6.58,0,0
1,7,6,8,0.1,0,0
1,7,6,9,456.61,15,103527
1,7,7,1,294.57,3,8171
1,7,7,2,50.12,1,1510
1,7,7,3,26.06,0,0
1,7,7,4,216.41,4,65435
1,7,7,5,60.68,0,0
1,7,7,6,208.35,5,74182
1,7,7,7,46.47,0,0
1,7,7,8,9.5,0,0
1,7,7,9,3315.16,77,340189
2,1,1,1,638.51,148,578831
2,1,1,2,94.77,29,137355
2,1,1,3,126.87,29,137680
2,1,1,4,398.58,55,162678
2,1,1,5,167.88,41,73435
2,1,1,6,354.26,48,166416
2,1,1,7,95.57,11,21295
2,1,1,8,25.93,5,2059
2,1,1,9,6792.88,1410,6556534
2,1,2,1,605.01,86,484085
2,1,2,2,96.42,12,93305
2,1,2,3,94.57,12,62554
2,1,2,4,319.2,20,43734
2,1,2,5,152.42,24,109785
2,1,2,6,349.2,27,92572
2,1,2,7,94.39,8,76099
2,1,2,8,16.52,3,39939
2,1,2,9,5941.02,722,3249461
2,1,3,1,599.51,78,450864
2,1,3,2,121.49,17,142141
2,1,3,3,91.96,13,93038
2,1,3,4,234.48,13,65170
2,1,3,5,134.82,19,111059
2,1,3,6,318.69,21,162284
2,1,3,7,88.04,11,30153
2,1,3,8,22.47,5,47551
2,1,3,9,5162.92,484,2522341
2,1,4,1,597.21,55,213704
2,1,4,2,129.44,7,47589
2,1,4,3,94.8,9,47251
2,1,4,4,182.93,12,59369
2,1,4,5,111.64,11,20942
2,1,4,6,263.94,9,44772
2,1,4,7,107.37,9,61695
2,1,4,8,23.1,3,40634
2,1,4,9,4712.87,407,1631427
2,1,5,1,779.53,55,232521
2,1,5,2,157.99,13,31952
2,1,5,3,137.19,6,50067
2,1,5,4,156.34,11,18221
2,1,5,5,149.71,15,32164
2,1,5,6,295.12,13,59509
2,1,5,7,132.79,8,55603
2,1,5,8,29.02,2,2802
2,1,5,9,5373.06,363,1597528
2,1,6,1,1557.98,107,435444
2,1,6,2,329.74,29,133272
2,1,6,3,320.71,13,150031
2,1,6,4,210.91,4,15193
2,1,6,5,336.02,30,194477
2,1,6,6,576.63,24,137963
2,1,6,7,269.81,9,87411
2,1,6,8,56.96,9,144950
2,1,6,9,9805.53,618,2918359
2,1,7,1,8009.92,390,1992027
2,1,7,2,1407.85,67,332194
2,1,7,3,1538.74,49,397236
2,1,7,4,806,31,209824
2,1,7,5,1380.85,83,398103
2,1,7,6,2848.53,111,493340
2,1,7,7,1496.62,74,282000
2,1,7,8,267.8,14,95457
2,1,7,9,44511.41,2127,10315455
2,2,1,1,679.46,113,582788
2,2,1,2,98.43,22,91135
2,2,1,3,60.48,11,90425
2,2,1,4,434.05,45,153794
2,2,1,5,211.77,34,255298
2,2,1,6,516.01,51,253258
2,2,1,7,118.76,16,69025
2,2,1,8,25.01,5,7797
2,2,1,9,7185.14,1157,5121951
2,2,2,1,638.08,83,350944
2,2,2,2,117.12,19,141774
2,2,2,3,52.69,11,58588
2,2,2,4,408.69,22,136288
2,2,2,5,168.09,33,150740
2,2,2,6,523.36,22,100822
2,2,2,7,141.28,15,57916
2,2,2,8,25.84,5,42167
2,2,2,9,6506.72,559,2457197
2,2,3,1,687.29,60,382872
2,2,3,2,111.63,11,55353
2,2,3,3,68.91,5,7480
2,2,3,4,294.06,14,88500
2,2,3,5,154.39,20,42607
2,2,3,6,446.83,25,116227
2,2,3,7,139.62,9,18627
2,2,3,8,28.91,2,4521
2,2,3,9,5783.55,453,1907609
2,2,4,1,661.35,50,257851
2,2,4,2,139.58,15,29492
2,2,4,3,67.99,3,4835
2,2,4,4,198.46,6,11144
2,2,4,5,151.85,10,18943
2,2,4,6,390.18,15,37755
2,2,4,7,120.11,9,55231
2,2,4,8,33.1,1,1878
2,2,4,9,5316.84,344,1682243
2,2,5,1,848.62,70,265184
2,2,5,2,204.12,19,116076
2,2,5,3,129.16,6,20054
2,2,5,4,149.52,7,40010
2,2,5,5,214.27,14,21497
2,2,5,6,431.35,18,89520
2,2,5,7,176.7,10,25944
2,2,5,8,50.75,3,10388
2,2,5,9,6273.26,344,1437097
2,2,6,1,1741.3,99,502889
2,2,6,2,358.55,22,108381
2,2,6,3,286.92,14,49960
2,2,6,4,192.9,7,11847
2,2,6,5,398.56,21,135284
2,2,6,6,710.28,32,75776
2,2,6,7,356.8,12,25779
2,2,6,8,103.3,9,27406
2,2,6,9,11001.9,622,3029300
2,2,7,1,9358.84,359,2466406
2,2,7,2,2021.95,107,520377
2,2,7,3,1795.27,53,328548
2,2,7,4,859.65,23,95241
2,2,7,5,1856.01,77,323882
2,2,7,6,3817.88,96,503384
2,2,7,7,2125.92,91,463818
2,2,7,8,407.26,10,89166
2,2,7,9,54421.4,2087,9950131
2,3,1,1,703.88,120,547349
2,3,1,2,88.45,10,20304
2,3,1,3,39.68,3,5422
2,3,1,4,461.44,33,121470
2,3,1,5,209.99,53,234736
2,3,1,6,633.85,52,241224
2,3,1,7,142,14,68256
2,3,1,8,23.45,2,8396
2,3,1,9,7304.73,1003,4387841
2,3,2,1,700.59,74,286946
2,3,2,2,96.84,7,20675
2,3,2,3,44.37,1,31442
2,3,2,4,422.88,17,14982
2,3,2,5,177.47,27,154791
2,3,2,6,669.34,42,114629
2,3,2,7,151.12,17,36169
2,3,2,8,27.39,1,31442
2,3,2,9,6988.9,556,2634269
2,3,3,1,724.49,49,189534
2,3,3,2,121.33,9,32584
2,3,3,3,55.59,0,0
2,3,3,4,275.9,7,40454
2,3,3,5,162.92,17,33909
2,3,3,6,576.1,21,55806
2,3,3,7,140.05,13,76834
2,3,3,8,36.78,0,0
2,3,3,9,6034.63,404,2107152
2,3,4,1,679.01,38,197187
2,3,4,2,119.96,13,62674
2,3,4,3,69.04,2,2597
2,3,4,4,173.48,11,46956
2,3,4,5,155.48,8,45486
2,3,4,6,468.53,19,75634
2,3,4,7,147.89,9,84248
2,3,4,8,41.4,4,35685
2,3,4,9,5496.81,323,1473149
2,3,5,1,946.01,50,199324
2,3,5,2,172.42,12,27067
2,3,5,3,104.52,4,34911
2,3,5,4,188.53,4,33175
2,3,5,5,209.61,9,81779
2,3,5,6,515.69,17,77953
2,3,5,7,189.16,10,21942
2,3,5,8,55.8,6,23456
2,3,5,9,6442.14,324,1506141
2,3,6,1,1702.76,86,491502
2,3,6,2,332.17,10,21654
2,3,6,3,306.21,11,72861
2,3,6,4,193.65,6,11444
2,3,6,5,452.37,30,201310
2,3,6,6,834.26,38,182641
2,3,6,7,367,17,76297
2,3,6,8,126.83,8,27834
2,3,6,9,10730.07,492,2038707
2,3,7,1,10469.92,325,1401833
2,3,7,2,2071.24,68,353788
2,3,7,3,2180.19,59,324185
2,3,7,4,917.17,19,73569
2,3,7,5,2435.19,86,468488
2,3,7,6,4857.97,121,605098
2,3,7,7,2416.4,83,349608
2,3,7,8,704.42,22,134382
2,3,7,9,60140.2,2044,10518198
2,4,1,1,1493.99,226,1107859
2,4,1,2,131.48,14,103393
2,4,1,3,88.79,8,112948
2,4,1,4,774.1,39,121494
2,4,1,5,372.41,66,369471
2,4,1,6,1295.44,109,492597
2,4,1,7,240.77,23,51380
2,4,1,8,44.59,8,20312
2,4,1,9,13502.14,1442,7243260
2,4,2,1,1402.82,119,614064
2,4,2,2,157.16,13,37643
2,4,2,3,87.93,4,16203
2,4,2,4,727.28,35,212362
2,4,2,5,317.39,38,204612
2,4,2,6,1299.16,65,566535
2,4,2,7,250.94,18,128549
2,4,2,8,52.96,5,35588
2,4,2,9,12692.5,849,4327298
2,4,3,1,1388.66,99,691234
2,4,3,2,177.33,5,45982
2,4,3,3,107.04,4,14953
2,4,3,4,497.4,15,38416
2,4,3,5,280.1,23,235331
2,4,3,6,1084.19,46,166621
2,4,3,7,246.24,10,35221
2,4,3,8,61.36,6,83511
2,4,3,9,10957.97,580,3353774
2,4,4,1,1335.57,82,358249
2,4,4,2,229.51,8,18246
2,4,4,3,126.18,2,1916
2,4,4,4,364.11,11,34707
2,4,4,5,318.83,12,40334
2,4,4,6,873.94,33,170727
2,4,4,7,241.3,12,86801
2,4,4,8,76.9,4,19358
2,4,4,9,9689.88,445,2107274
2,4,5,1,1685.23,82,547932
2,4,5,2,323.48,15,38665
2,4,5,3,223.59,5,16820
2,4,5,4,349.22,3,6779
2,4,5,5,390.21,15,161309
2,4,5,6,986.77,31,230920
2,4,5,7,329.99,8,51133
2,4,5,8,115.65,5,25988
2,4,5,9,10932.73,441,2172831
2,4,6,1,3057.73,116,579356
2,4,6,2,665.09,29,142262
2,4,6,3,570.12,18,110476
2,4,6,4,347.66,10,62709
2,4,6,5,722.62,37,134350
2,4,6,6,1508.43,41,206813
2,4,6,7,656.37,17,45923
2,4,6,8,259.31,13,74790
2,4,6,9,19012.21,728,3816718
2,4,7,1,21848.06,605,3502535
2,4,7,2,4430.43,153,836130
2,4,7,3,4695.14,91,528367
2,4,7,4,1818.17,33,101358
2,4,7,5,4808.39,127,850044
2,4,7,6,10510.83,242,1174270
